重庆森林 重慶森林‎ (1994), 林青霞 , 金城武 , 梁朝伟 , 王菲 , 周嘉玲
春光乍泄 春光乍洩‎ (1997), 张国荣 , 梁朝伟 , 张震
一代宗师 一代宗師‎ (2013), 梁朝伟 , 章子怡 , 张震 , 宋慧乔 , 赵本山 , 小沈阳 , 王庆祥 , 张晋
花样年华 花樣年華‎ (2000), 梁朝伟 , 张曼玉 , 潘迪华 , 萧炳林 , 张耀扬 , 孙佳君 , 钱似莺 , 顾锦华
东邪西毒 東邪西毒‎ (1994), 张国荣 , 林青霞 , 梁朝伟 , 张学友 , 张曼玉 , 刘嘉玲 , 梁家辉 , 杨采妮
阿飞正传 阿飛正傳‎ (1990), 张国荣 , 张曼玉 , 刘嘉玲 , 刘德华 , 张学友 , 潘迪华 , 梁朝伟
2046‎ (2004), 梁朝伟 , 章子怡 , 王菲 , 木村拓哉 , 巩俐 , 刘嘉玲 , 张震 , 张曼玉
堕落天使‎ (1995), 黎明 , 李嘉欣 , 金城武 , 杨采妮 , 莫文蔚 , 陈辉虹 , 陈万雷 , 关莉娜
爱神 Eros‎ (2004), 米开朗基罗·安东尼奥尼 , 史蒂文·索德伯格 , 巩俐 , 张震 , 克里斯托弗·巴克霍尔兹 , Regina Nemni , 路易莎·拉涅瑞 , 小罗伯特·唐尼 , 艾伦·阿金 , 艾利·凯特斯
旺角卡门 旺角卡門‎ (1988), 刘德华 , 张学友 , 张曼玉 , 万梓良 , 林蛟 , 黄斌 , 陈志辉 , 王剑风
东邪西毒：终极版 東邪西毒終極版‎ (2008), 张国荣 , 林青霞 , 梁朝伟 , 张学友 , 张曼玉 , 刘嘉玲 , 梁家辉 , 杨采妮
蓝莓之夜 My Blueberry Nights‎ (2007), 诺拉·琼斯 , 裘德·洛 , 娜塔莉·波特曼 , 蕾切尔·薇兹 , 大卫·斯特雷泽恩 , 卡佳·布铭邦 , 查得·R·戴维斯 , Demetrius Butler
繁花‎ (2025), 胡歌 , 马伊琍
心灵之境 Déjà vu‎ (2012), 张震 , 杜鹃
午夜蓝毒 Midnight Poison‎ (2007), 伊娃·格林
跟踪 The Hire: The Follow‎ (2001), 克里夫·欧文 , 米基·洛克 , 阿德瑞娜·利玛
穿越九千公里献给你 I Travelled 9000 km To Give It To You‎ (2007), 范植伟 , 张睿羚
六天 Six Days‎ (2002), 张震 , 丹妮拉·格拉翰
只有一个太阳 There's Only One Sun‎ (2007), Amélie Daure , Gianpaolo Lupori , Stefan Morawietz
花样的年华 花樣的年華‎ (2001), 周璇
宗师之路‎ (2012), 梁朝伟 , 章子怡 , 赵本山 , 张震 , 宋慧乔
心灵之境纪录片 Dèjà vu: The Making of‎ (2012), 张震 , 杜鹃 , 菲利浦·勒素 , 马德琳·封丹
假面 Mask‎ (2011), 张榕容
wkw/tk/1996@7'55''hk.net‎ (1996), 浅野忠信 , 莫文蔚
邂逅 La rencontre‎ (2002), 张震
Motorola‎ (1998), 浅野忠信 , 王菲
第28届金马奖颁奖典礼 第28屆金馬獎頒獎典禮‎ (1991), 郎雄 , 张曼玉 , 关海山 , 王莱 , 潘迪华 , 杨德昌 , 杨顺清
魅惑 Hypnôse homme‎ (2007), 克里夫·欧文 , 达莉亚·沃波依
活肤驻颜 Capture totale‎ (2005), 莎朗·斯通
Dans la ville‎ (2001)
Making of du spot Dior: Midnight Poison‎ (2007)
Kennwort Kino‎ (1984)
Behind the Sun: The Making Of‎ (2007)
Untitled Wong Kar-Wai Project‎ (2030)
